,Team,M,W,L,T,N/R,PT
0,1EnglandENG,6,5,1,0,0,20
1,2PakistanPAK,6,3,3,0,0,12
2,3New ZealandNZ,6,3,3,0,0,12
3,4Sri LankaSL,6,1,5,0,0,4
4,Team,M,W,L,T,N/R,PT
5,1West IndiesWI,6,5,1,0,0,20
6,2IndiaINDIA,6,4,2,0,0,16
7,3AustraliaAUS,6,2,4,0,0,8
8,4ZimbabweZIM,6,1,5,0,0,4
